[2023-05-03 05:32:21,866] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration clob -> org.hibernate.type.ClobType@52045dbe
[2023-05-03 05:32:21,866] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration java.sql.Clob -> org.hibernate.type.ClobType@52045dbe
[2023-05-03 05:32:21,868] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration nclob -> org.hibernate.type.NClobType@62f4ff3b
[2023-05-03 05:32:21,868] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration java.sql.NClob -> org.hibernate.type.NClobType@62f4ff3b
[2023-05-03 05:32:21,869] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration materialized_clob -> org.hibernate.type.MaterializedClobType@65b3a85a
[2023-05-03 05:32:21,870] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration materialized_nclob -> org.hibernate.type.MaterializedNClobType@53d1b9b3
[2023-05-03 05:32:21,871] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration serializable -> org.hibernate.type.SerializableType@1698ee84
[2023-05-03 05:32:21,876] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration object -> org.hibernate.type.ObjectType@792bbc74
[2023-05-03 05:32:21,877] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration java.lang.Object -> org.hibernate.type.ObjectType@792bbc74
[2023-05-03 05:32:21,878] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration imm_date -> org.hibernate.type.AdaptedImmutableType@6821ea29
[2023-05-03 05:32:21,878] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration imm_time -> org.hibernate.type.AdaptedImmutableType@338494fa
[2023-05-03 05:32:21,879] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration imm_timestamp -> org.hibernate.type.AdaptedImmutableType@505a9d7c
[2023-05-03 05:32:21,879] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration imm_dbtimestamp -> org.hibernate.type.AdaptedImmutableType@758c83d8
[2023-05-03 05:32:21,880] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration imm_calendar -> org.hibernate.type.AdaptedImmutableType@129b4fe2
[2023-05-03 05:32:21,880] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration imm_calendar_date -> org.hibernate.type.AdaptedImmutableType@5af3a0f
[2023-05-03 05:32:21,880] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration imm_binary -> org.hibernate.type.AdaptedImmutableType@19ae6bb
[2023-05-03 05:32:21,880] DEBUG [org.hibernate.type.BasicTypeRegistry: 157] Adding type registration imm_serializable -> org.hibernate.type.AdaptedImmutableType@10993713
